total_doc_num=500 doc_type=2 qry_type=2
TotalDocSyl=106860 TotalDocSylCan=201356 Avg=1.88

Query 1 20001.query XXXXXX           
SyllableNo=5 SyllableCanNo=10 Avg=2.00
VOM19980225.0900.1919 2.980305e-001 VOM19980225.0900.1919
VOM19980605.0900.0196 2.945694e-001 VOM19980605.0900.0196
VOM19980225.0900.0216 2.945371e-001 VOM19980225.0900.0216
VOM19980605.0730.0189 2.937909e-001 VOM19980605.0730.0189
VOM19980225.0700.0221 2.837313e-001 VOM19980225.0700.0221
VOM19980605.0700.0227 2.741527e-001 VOM19980605.0700.0227
VOM19980225.0900.0714 2.657251e-001 VOM19980225.0900.0714
VOM19980317.0900.2174 2.636293e-001 VOM19980317.0900.2174
VOM19980609.0700.0256 2.374794e-001 VOM19980609.0700.0256
VOM19980220.0700.0559 2.362900e-001 VOM19980220.0700.0559
VOM19980610.0730.0112 2.318186e-001 VOM19980610.0730.0112
VOM19980610.0700.0207 2.294794e-001 VOM19980610.0700.0207
VOM19980606.0700.0460 2.273484e-001 VOM19980606.0700.0460
VOM19980221.0700.2087 2.247966e-001 VOM19980221.0700.2087
VOM19980602.0730.0071 2.243850e-001 VOM19980602.0730.0071
VOM19980602.0700.0199 2.239923e-001 VOM19980602.0700.0199
VOM19980227.0900.2564 2.213486e-001 VOM19980227.0900.2564
VOM19980223.0700.0632 2.116004e-001 VOM19980223.0700.0632
VOM19980305.0900.2335 2.092573e-001 VOM19980305.0900.2335
VOM19980303.0900.3083 2.070030e-001 VOM19980303.0900.3083
VOM19980606.0730.0212 2.018496e-001 VOM19980606.0730.0212
VOM19980609.0730.0153 1.913396e-001 VOM19980609.0730.0153
VOM19980609.0900.0148 1.878993e-001 VOM19980609.0900.0148
VOM19980225.0900.0872 1.836121e-001 VOM19980225.0900.0872
VOM19980226.0900.2338 1.764884e-001 VOM19980226.0900.2338
VOM19980501.0700.0036 1.735304e-001 VOM19980501.0700.0036
VOM19980226.0900.2027 1.734532e-001 VOM19980226.0900.2027
VOM19980222.0700.0448 1.712464e-001 VOM19980222.0700.0448
VOM19980225.0900.0493 1.674506e-001 VOM19980225.0900.0493
VOM19980220.0700.0521 1.576454e-001 VOM19980220.0700.0521
VOM19980312.0900.0439 1.565215e-001 VOM19980312.0900.0439
VOM19980316.0900.2774 1.563464e-001 VOM19980316.0900.2774
VOM19980607.0700.0463 1.552633e-001 VOM19980607.0700.0463
VOM19980501.0900.0001 1.501152e-001 VOM19980501.0900.0001
VOM19980228.0700.0636 1.498098e-001 VOM19980228.0700.0636
VOM19980325.0900.0905 1.479102e-001 VOM19980325.0900.0905
VOM19980403.0900.3074 1.478021e-001 VOM19980403.0900.3074
VOM19980302.0700.0484 1.464390e-001 VOM19980302.0700.0484
VOM19980220.0700.2208 1.426174e-001 VOM19980220.0700.2208
VOM19980501.0730.0003 1.421469e-001 VOM19980501.0730.0003
VOM19980630.0730.0136 1.420775e-001 VOM19980630.0730.0136
VOM19980303.0700.0628 1.386648e-001 VOM19980303.0700.0628
VOM19980403.0700.1169 1.345693e-001 VOM19980403.0700.1169
VOM19980526.0730.0065 1.345499e-001 VOM19980526.0730.0065
VOM19980228.0700.0232 1.337780e-001 VOM19980228.0700.0232
VOM19980526.0900.0124 1.327795e-001 VOM19980526.0900.0124
VOM19980630.0700.0262 1.323859e-001 VOM19980630.0700.0262
VOM19980312.0900.1968 1.300543e-001 VOM19980312.0900.1968
VOM19980403.0900.0619 1.275480e-001 VOM19980403.0900.0619
VOM19980624.0700.0434 1.259843e-001 VOM19980624.0700.0434
VOM19980316.0700.2333 1.246961e-001 VOM19980316.0700.2333
VOM19980305.0900.2166 1.239843e-001 VOM19980305.0900.2166
VOM19980319.0900.0364 1.221510e-001 VOM19980319.0900.0364
VOM19980225.0700.0302 1.196545e-001 VOM19980225.0700.0302
VOM19980228.0700.1861 1.190237e-001 VOM19980228.0700.1861
VOM19980317.0900.0757 1.170816e-001 VOM19980317.0900.0757
VOM19980529.0730.0209 1.149807e-001 VOM19980529.0730.0209
VOM19980618.0700.0234 1.146361e-001 VOM19980618.0700.0234
VOM19980613.0700.0546 1.131324e-001 VOM19980613.0700.0546
VOM19980326.0900.1939 1.130708e-001 VOM19980326.0900.1939
VOM19980404.0700.1061 1.122625e-001 VOM19980404.0700.1061
VOM19980605.0730.0152 1.097994e-001 VOM19980605.0730.0152
VOM19980605.0700.0194 1.097994e-001 VOM19980605.0700.0194
VOM19980511.0900.0039 1.093924e-001 VOM19980511.0900.0039
VOM19980221.0700.2690 1.089628e-001 VOM19980221.0700.2690
VOM19980319.0700.0452 1.086891e-001 VOM19980319.0700.0452
VOM19980605.0900.0161 1.086307e-001 VOM19980605.0900.0161
VOM19980302.0700.3552 1.071493e-001 VOM19980302.0700.3552
VOM19980404.0700.0676 1.063528e-001 VOM19980404.0700.0676
VOM19980527.0730.0233 1.057375e-001 VOM19980527.0730.0233
VOM19980326.0700.2359 1.047179e-001 VOM19980326.0700.2359
VOM19980326.0900.2164 1.044067e-001 VOM19980326.0900.2164
VOM19980326.0900.2483 1.027369e-001 VOM19980326.0900.2483
VOM19980616.0900.0100 1.008164e-001 VOM19980616.0900.0100
VOM19980616.0730.0180 1.002961e-001 VOM19980616.0730.0180
VOM19980302.0900.0510 1.001657e-001 VOM19980302.0900.0510
VOM19980526.0700.0178 9.894677e-002 VOM19980526.0700.0178
VOM19980428.0900.0080 9.608206e-002 VOM19980428.0900.0080
VOM19980403.0700.0259 9.568584e-002 VOM19980403.0700.0259
VOM19980530.0730.0138 9.564395e-002 VOM19980530.0730.0138
VOM19980302.0900.0341 9.491775e-002 VOM19980302.0900.0341
VOM19980314.0700.1606 9.481625e-002 VOM19980314.0700.1606
VOM19980529.0900.0243 9.326252e-002 VOM19980529.0900.0243
VOM19980623.0700.0472 9.238285e-002 VOM19980623.0700.0472
VOM19980404.0700.0406 9.125374e-002 VOM19980404.0700.0406
